id,cell,cat,num,category,type,baseDifficulty,handDifficulty,footDifficulty,footRating,footLabel,generalUsability,direction,directionLabel,center_x,center_y,boxSize,idealUsage,ideal
1779864357139,"2,0",F,4,wall features,uncategorized,4,8,6,3,Mid,7,135,down-right,1307.8914794921875,1260.1417846679688,100.8017578125,Not Ideal,Not Ideal
1779864362432,"2,0",F,5,wall features,uncategorized,4,8,6,3,Mid,7,0,up,1207.0897216796875,1203.594482421875,130.3046875,Not Ideal,Not Ideal
1779864365895,"2,0",F,6,wall features,uncategorized,3,6,8,4,Bad,7,0,up,1134.5616455078125,1162.7205200195312,44.25439453125,Hand,Hand
1779864333947,"2,0",I,1,insert holds,pocket,1,2,8,4,Bad,7,315,up-left,1168.3670654296875,1321.91357421875,86.05029296875,General,General
1779864337883,"2,0",I,2,insert holds,pocket,4,8,10,5,Hell,10,0,up,1401.6248779296875,1213.1214599609375,81.747802734375,Hand,Hand
1779864373161,"3,0",C,1,climbing holds,jug,1,2,4,2,Good,2,180,down,1549.5591430664062,1510.0269165039062,62.0513916015625,General,General
1779864375994,"3,0",C,2,climbing holds,jug,3,6,4,2,Good,2,180,down,1688.7230224609375,1517.858642578125,64.461181640625,General,General
1779864378426,"3,0",C,3,climbing holds,jug,1,2,4,2,Good,2,180,down,1911.3248291015625,1522.376953125,49.400146484375,General,General
1779864381962,"3,0",C,4,climbing holds,jug,1,2,4,2,Good,2,180,down,1541.7274169921875,1394.6594848632812,47.5927734375,General,General
1779864385048,"3,0",C,5,climbing holds,jug,1,2,4,2,Good,2,180,down,1747.1597290039062,1392.8521728515625,59.6416015625,General,General
1779864389866,"3,0",C,6,climbing holds,crimp,4,8,10,5,Hell,10,135,down-right,1813.7294311523438,1325.6800537109375,42.1707763671875,Hand,Hand
1779864392991,"3,0",C,7,climbing holds,crimp,4,8,10,5,Hell,10,180,down,1538.4140625,1232.0005493164062,98.80029296875,Hand,Hand
1779864397385,"3,0",C,8,climbing holds,jug,1,2,2,1,Heaven,1,180,down,1755.5939331054688,1162.4185791015625,100.6075439453125,General,General
1779864400033,"3,0",C,9,climbing holds,jug,1,2,4,2,Good,2,0,up,1895.0589599609375,1163.0210571289062,55.424560546875,General,General
1779864414398,"3,0",F,1,wall features,uncategorized,3,6,4,2,Good,5,180,down,1833.007568359375,1429.2998657226562,149.4053955078125,Not Ideal,Not Ideal
1779864417992,"3,0",F,2,wall features,uncategorized,3,6,6,3,Mid,6,180,down,1670.9509887695312,1395.261962890625,77.1124267578125,Hand,Hand
1779864420040,"3,0",F,3,wall features,uncategorized,5,10,10,5,Hell,10,180,down,1903.7943725585938,1347.367919921875,24.7000732421875,Hand,Hand
1779864425364,"3,0",F,4,wall features,uncategorized,3,6,4,2,Good,5,135,down-right,1749.2682495117188,1260.616455078125,108.4393310546875,Not Ideal,Not Ideal
1779864430641,"3,0",F,5,wall features,uncategorized,3,6,4,2,Good,5,180,down,1648.0582275390625,1209.1077880859375,127.717529296875,Not Ideal,Not Ideal
1779864433225,"3,0",F,6,wall features,uncategorized,5,10,10,5,Hell,10,180,down,1567.0299682617188,1168.7442016601562,51.2073974609375,Hand,Hand
1779864403977,"3,0",I,1,insert holds,pocket,2,4,8,4,Bad,8,270,left,1603.4776000976562,1330.4996337890625,86.75146484375,Hand,Hand
1779864407359,"3,0",I,2,insert holds,crimp,2,4,6,3,Mid,8,0,up,1839.6343994140625,1223.8675537109375,91.571044921875,Hand,Hand
1779864631961,"0,1",C,1,climbing holds,crimp,2,4,8,4,Bad,8,225,down-left,187.01675415039062,1061.3643188476562,83.65087890625,Hand,Hand
1779864635361,"0,1",C,2,climbing holds,pinch,2,4,8,4,Bad,7,225,down-left,324.0419006347656,893.1261901855469,51.8135986328125,Hand,Hand
1779864638671,"0,1",C,3,climbing holds,pinch,3,6,6,3,Mid,8,180,down,545.030029296875,951.4945678710938,71.7899169921875,Hand,Hand
1779864718057,"0,1",C,4,climbing holds,sloper,4,8,8,4,Bad,8,180,down,185.45610809326172,660.5892333984375,52.4378662109375,Hand,Hand
1779864722051,"0,1",C,5,climbing holds,jug,1,2,4,2,Good,2,180,down,388.96498107910156,738.3096618652344,65.54733276367188,General,General
1779864725762,"0,1",C,6,climbing holds,pinch,1,2,8,4,Bad,6,225,down-left,543.1572570800781,745.80078125,69.29290771484375,General,General
1779864729342,"0,1",C,7,climbing holds,crimp,3,6,10,5,Hell,9,270,left,590.2889099121094,671.5137939453125,46.19525146484375,Hand,Hand
1779864751681,"0,1",F,1,wall features,crimp,4,8,10,5,Hell,10,90,right,283.77638244628906,1053.5015869140625,60.748291015625,Hand,Hand
1779864761007,"0,1",F,2,wall features,pocket,4,8,10,5,Hell,10,90,right,305.3255920410156,1044.8818969726562,32.0159912109375,Hand,Hand
1779864765064,"0,1",F,3,wall features,pocket,5,10,10,5,Hell,10,90,right,304.2994384765625,1073.6141967773438,25.4486083984375,Hand,Hand
1779864771456,"0,1",F,4,wall features,crimp,3,6,8,4,Bad,9,180,down,380.2347869873047,1040.3668212890625,105.48855590820312,Hand,Hand
1779864776064,"0,1",F,5,wall features,crimp,5,10,10,5,Hell,10,180,down,386.59693908691406,1070.5357666015625,37.762420654296875,Hand,Hand
1779864781265,"0,1",F,6,wall features,pocket,5,10,10,5,Hell,10,270,left,443.0353698730469,1053.5015869140625,22.98583984375,Hand,Hand
1779864784495,"0,1",F,7,wall features,pocket,5,10,10,5,Hell,10,270,left,451.03936767578125,1074.4351806640625,29.55322265625,Hand,Hand
1779864787600,"0,1",F,8,wall features,pocket,5,10,10,5,Hell,10,90,right,453.7073669433594,1043.6505126953125,24.627685546875,Hand,Hand
1779864790258,"0,1",F,9,wall features,pocket,5,10,10,5,Hell,10,90,right,462.5322723388672,1061.9160766601562,20.1126708984375,Hand,Hand
1779864797560,"0,1",F,10,wall features,jug,3,6,4,2,Good,2,0,up,278.85084533691406,1000.1416320800781,44.32977294921875,General,General
1779864801978,"0,1",F,11,wall features,jug,2,4,2,1,Heaven,1,180,down,426.2064514160156,977.1558227539062,100.56298828125,General,General
1779864806081,"0,1",F,12,wall features,jug,1,2,2,1,Heaven,1,180,down,331.1846618652344,955.6065979003906,83.734130859375,General,General
1779864818671,"0,1",F,13,wall features,jug,1,2,2,1,Heaven,1,90,right,362.1744842529297,899.7838439941406,94.81658935546875,General,General
1779864822687,"0,1",F,14,wall features,jug,3,6,2,1,Heaven,1,270,left,391.1120147705078,898.9629211425781,89.07012939453125,General,General
1779864830209,"0,1",F,15,wall features,crimp,4,8,10,5,Hell,10,90,right,490.0331726074219,921.1278381347656,61.97967529296875,Hand,Hand
1779864842582,"0,1",F,16,wall features,crimp,5,10,10,5,Hell,10,225,down-left,558.5802001953125,906.9669189453125,54.180908203125,Hand,Hand
